geneEntrezID	geneName	stat	dbsnp	snpcnt	bin	chr	startpos	endpos	length	strand
100130542	LOC100130542	0.325	rs17106169	39	13	14	69208613	69209297	685	1
100130613	CXorf64	0.12254	rs3131422	25	11	X	125953747	125955769	2023	1
100130657	LOC100130657	0.08457	rs1421029	1	1	17	63677569	63677958	390	-1
100130701	LOC100130701	0.11355	rs16831074	11	7	3	120076665	120106964	30300	1
100130705	LOC100130705	0.0833700000000001	rs4323418	3	3	7	128506464	128512101	5638	1
100130742	LRRC69	0.09666	rs12678556	21	10	8	92114847	92231464	116618	1
100130778	LOC100130778	0.09258	rs4759974	1	1	12	130074252	130075239	988	-1
100130817	LOC100130817	0.10975	rs36008	1	1	16	55734034	55735390	1357	-1
100130827	SGK110	0.08684	rs10421563	3	3	19	56052023	56056909	4887	-1
100130863	ZNF840	0.14835	rs455828	25	11	20	45092309	45121279	28971	1
100130890	TSTD3	0.09784	rs9402863	3	3	6	99968870	99981061	12192	1
100130921	LOC100130921	0.12437	rs2374432	4	4	2	42721709	42722527	819	1
100130958	SYCE1L	0.13955	rs4887899	24	11	16	77233349	77246976	13628	1
100130967	C6orf99	0.11461	rs3923902	15	9	6	159309619	159331385	21767	1
100130976	LOC100130976	0.26921	rs2199800	33	12	15	94632284	94632664	381	-1
100130988	C7orf72	0.11196	rs921909	40	13	7	50135682	50198852	63171	1
100131000	LOC100131000	0.0784	rs4789281	1	1	17	74351729	74352966	1238	1
100131004	LOC100131004	0.12225	rs7213391	9	6	17	60217436	60218137	702	-1
100131032	LOC100131032	0.1546	rs11119081	38	13	1	208697157	208697934	778	1
100131034	LOC100131034	0.07745	rs8015723	1	1	14	103893175	103896272	3098	-1
100131099	LOC100131099	0.08558	rs16985645	2	2	20	60411356	60411787	432	-1
100131107	LOC100131107	0.19401	rs2069258	2	2	1	152052033	152053370	1338	-1
100131137	BSPH1	0.10291	rs10424421	13	8	19	48471303	48495427	24125	-1
100131150	LOC100131150	0.08445	rs11601870	1	1	11	66764061	66764783	723	1
100131187	TSTD1	0.0851	rs12030262	1	1	1	161007421	161008774	1354	-1
100131190	LOC100131190	0.0815900000000001	rs4816679	1	1	21	41657429	41657848	420	1
100131195	LOC100131195	0.1125	rs10900290	17	9	10	43486731	43487111	381	-1
100131211	TMEM194B	0.10358	rs3811610	12	8	2	191371619	191399468	27850	-1
100131244	ANKRD63	0.10631	rs4924445	1	1	15	40573645	40574787	1143	-1
100131310	LOC100131310	0.16319	rs206034	39	13	X	39562417	39610121	47705	1
100131378	C11orf91	0.12647	rs10768020	8	6	11	33719654	33722286	2633	-1
100131381	LOC100131381	0.12647	rs4755202	13	8	11	43600529	43606151	5623	1
100131390	SP9	0.0955	rs2014805	3	3	2	175199821	175202268	2448	1
100131439	CD300LD	0.11096	rs1522874	3	3	17	72576111	72588370	12260	-1
100131539	ZNF705E	0.23527	rs10898679	3	3	11	71527558	71532522	4965	-1
100131581	LOC100131581	0.0778	rs9772321	2	2	8	12480186	12481558	1373	1
100131654	LOC100131654	0.39488	rs11638933	28	12	15	87736900	87737541	642	1
100131719	LOC100131719	0.14139	rs2438125	17	9	10	124939910	124940323	414	1
100131755	ARMCX4	0.3926	rs4986639	15	9	X	100673251	100790975	117725	1
100131827	ZNF717	0.14946	rs7429750	5	4	3	75786029	75834255	48227	-1
100131829	LOC100131829	0.38929	rs2723055	14	8	4	102446155	102447501	1347	-1
100131860	LOC100131860	0.09568	rs16972780	2	2	15	81444997	81445900	904	-1
100131894	LOC100131894	0.12801	rs7137952	9	6	12	131360918	131361883	966	-1
100131897	FAM196B	0.19763	rs17670285	54	14	5	169290719	169407744	117026	-1
100131902	KRTAP25-1	0.11541	rs2832758	4	4	21	31661463	31661832	370	-1
100131907	LOC100131907	0.09261	rs12151104	3	3	19	377284	378112	829	-1
100132074	FOXO6	0.25442	rs11209858	38	13	1	41827227	41848353	21127	1
100132146	LOC100132146	0.14946	rs4234464	19	10	3	46653925	46668033	14109	1
100132154	LOC100132154	0.088	rs1973319	1	1	9	69896513	69901469	4957	-1
100132174	LOC100132174	0.14232	rs9898235	37	13	17	75719694	75720167	474	-1
100132197	LOC100132197	0.08357	rs1682297	1	1	17	20391097	20391666	570	1
100132339	LOC100132339	0.13609	rs11647194	13	8	16	54971698	54973796	2099	-1
100132386	KRTAP4-9	0.07863	rs4247139	1	1	17	39261641	39262740	1100	1
100132396	ZNF705B	0.38358	rs9329219	1	1	8	7783859	7809935	26077	1
100132403	FAM157B	0.09514	rs4437726	3	3	9	141106637	141134172	27536	1
100132406	NBPF10	0.09094	rs3121125	1	1	1	145293371	145368684	75314	1
100132463	CLDN24	0.12127	rs7687627	13	8	4	184242917	184243579	663	-1
100132474	LOC100132474	0.18067	rs10423465	6	5	19	9812452	9813718	1267	1
100132476	KRTAP4-7	0.08688	rs1848811	10	7	17	39240459	39241396	938	1
100132731	LOC100132731	0.11025	rs6767104	9	6	3	128629034	128684488	55455	-1
100132800	LOC100132800	0.10068	rs11084444	15	9	19	56785886	56786421	536	1
100132858	LOC100132858	0.25962	rs12673588	17	9	7	19828	36378	16551	-1
100132916	FAM159B	0.55291	rs7720398	11	7	5	63986135	64014017	27883	1
100132963	SMIM9	0.17245	rs5945250	1	1	X	154051623	154062937	11315	-1
100132994	CXorf49B	0.10238	rs12387850	2	2	X	70983140	70987051	3912	1
100133053	CXorf51B	0.09665	rs5920272	8	6	X	145891302	145891929	628	1
100133128	LOC100133128	0.09337	rs13122164	8	6	4	9400930	9405291	4362	1
100133145	LOC100133145	0.0795400000000001	rs510599	1	1	17	74900889	74901646	758	-1
100133171	SPANXB2	0.16319	rs1494434	10	7	X	140084756	140085871	1116	1
100133220	GOLGA6L3	0.10849	rs6496932	6	5	15	85783641	85790401	6761	1
100137047	JMJD7	0.08829	rs7166139	4	4	15	42120283	42129785	9503	1
10014	HDAC5	0.14808	rs615070	7	5	17	42154121	42201014	46894	-1
100141515	C17orf99	0.14638	rs8073715	3	3	17	76142434	76162364	19931	1
100144595	LOC100144595	0.12828	rs12470887	39	13	2	155292365	155313950	21586	-1
100144748	KLLN	0.11699	rs10788569	6	5	10	89618918	89623194	4277	-1
10015	PDCD6IP	0.12313	rs9311026	23	11	3	33840063	33911199	71137	1
10016	PDCD6	0.14249	rs4957020	4	4	5	271736	315089	43354	1
100169851	PATE3	0.08121	rs501527	2	2	11	125658006	125661495	3490	1
10017	BCL2L10	0.12475	rs2414132	5	4	15	52401822	52404972	3151	-1
100170765	C19orf69	0.10214	rs8107333	7	5	19	41949063	41950670	1608	1
100170841	C17orf96	0.09793	rs2080025	4	4	17	36827956	36831187	3232	-1
10018	BCL2L11	0.71867	rs10864954	23	11	2	111878491	111926022	47532	1
100188893	TOMM6	0.10417	rs3747751	1	1	6	41755181	41757634	2454	1
10019	SH2B3	0.83012	rs739496	8	6	12	111843752	111889427	45676	1
100190949	C5orf52	0.12903	rs7724394	7	5	5	157098561	157107162	8602	1
100191040	C2CD4D	0.11885	rs6587622	2	2	1	151810339	151813033	2695	-1
1002	CDH4	0.45086	rs1539470	249	15	20	59827482	60515673	688192	1
10020	GNE	0.09514	rs7036926	10	7	9	36214438	36277053	62616	-1
10021	HCN4	0.31689	rs3940418	12	8	15	73612200	73661605	49406	-1
10022	INSL5	0.08692	rs569930	3	3	1	67263424	67266942	3519	-1
10023	FRAT1	0.39598	rs12240590	2	2	10	99079022	99081672	2651	1
10024	TROAP	0.10031	rs4898519	1	1	12	49716971	49725514	8544	1
10025	MED16	0.08684	rs1060442	1	1	19	867962	893218	25257	-1
10026	PIGK	0.1708	rs10493600	22	11	1	77554666	77685132	130467	-1
100271715	ARHGEF33	0.12057	rs373300	17	9	2	39146504	39202590	56087	1
100271846	ERVV-2	0.31527	rs7259688	4	4	19	53547991	53554380	6390	1
100271849	MEF2B	0.2304	rs7360000	6	5	19	19256376	19281098	24723	-1
100286906	LOC100286906	0.1236	rs4716916	26	11	7	155174771	155188078	13308	1
100287171	WASH1	0.09685	rs7468327	2	2	9	14511	29739	15229	-1
100287226	ZNF729	0.12733	rs10426665	22	11	19	22469252	22499978	30727	1
100287284	MANSC4	0.09307	rs12814230	3	3	12	27915599	27924209	8611	-1
100287290	LOC100287290	0.09692	rs9863103	5	4	3	158458206	158461381	3176	1
100287313	LOC100287313	0.13825	rs1996260	20	10	8	52811842	52859733	47892	1
100287362	PRSS46	0.09448	rs7639979	3	3	3	46761073	46777921	16849	-1
100287387	LOC100287387	0.09677	rs12471757	14	8	2	239755218	239756320	1103	-1
100287477	LOC100287477	0.10214	rs8112109	3	3	19	50561973	50563754	1782	-1
100287482	SMKR1	0.08984	rs10954240	9	6	7	129142320	129152773	10454	1
100287633	LOC100287633	0.16293	rs4870684	5	4	7	57710228	57712559	2332	1
100287651	LOC100287651	0.13293	rs9298514	45	13	8	55646344	55782502	136159	1
100287718	ANKRD66	0.13692	rs9381480	8	6	6	46714654	46726955	12302	1
100287898	TTC34	0.10118	rs10909872	8	6	1	2572807	2706230	133424	-1
100288072	SDR42E2	0.08863	rs929837	3	3	16	22176904	22201714	24811	1
100288287	KRTAP22-2	0.11027	rs128592	2	2	21	31962424	31962716	293	-1
100288323	KRTAP21-3	0.10931	rs13049440	15	9	21	32090843	32091095	253	-1
100288336	LOC100288336	0.37478	rs2839637	7	5	21	44561072	44582387	21316	-1
100288413	ERVMER34-1	0.1227	rs17613967	13	8	4	53609684	53617807	8124	-1
100288485	MTRNR2L7	0.13696	rs4245001	19	10	10	37890366	37891859	1494	-1
100288568	LOC100288568	0.09276	rs17646414	1	1	14	106842205	106902371	60167	1
100288675	LOC100288675	0.10359	rs12388124	4	4	X	131334297	131339909	5613	1
100288695	LIMS3L	0.08623	rs11681529	1	1	2	111203460	111230652	27193	-1
100288797	TMEM239	0.09091	rs6132971	2	2	20	2796976	2797804	829	1
100288814	LOC100288814	0.09419	rs4830432	5	4	X	9935398	9936042	645	1
100288831	SRGAP3-AS3	0.10438	rs2875415	1	1	3	9258579	9260213	1635	1
100288908	LOC100288908	0.09477	rs5010979	3	3	11	5275316	5276394	1079	1
100289009	LOC100289009	0.1012	rs2073223	5	4	11	32112581	32122062	9482	-1
100289058	LOC100289058	0.13457	rs2721062	19	10	13	41110607	41120625	10019	-1
100289151	DCLRE1CP1	0.14856	rs10906802	6	5	10	15057357	15077424	20068	-1
100289187	LOC100289187	0.0796	rs17161772	1	1	7	99195902	99208456	12555	1
100289269	LOC100289269	0.71654	rs11880244	19	10	19	24180452	24231065	50614	1
100289375	LOC100289375	0.16302	rs6132882	5	4	20	25845707	25850513	4807	1
100289561	LOC100289561	0.08048	rs10953363	3	3	7	102004308	102021080	16773	1
100289635	ZNF605	0.46018	rs11147164	5	4	12	133498019	133532892	34874	-1
100289678	ZNF783	0.11657	rs1473127	12	8	7	148959262	148982085	22824	1
100293516	ZNF587B	0.32347	rs2562052	4	4	19	58341662	58357606	15945	1
1003	CDH5	0.14431	rs1865977	23	11	16	66400525	66438689	38165	1
100302652	GPR75-ASB3	0.14186	rs2287340	42	13	2	53897430	54087170	189741	-1
100302736	TMED7-TICAM2	0.32299	rs2068260	24	11	5	114914339	114961876	47538	-1
100303755	PET117	0.12264	rs17725255	9	6	20	18118499	18123813	5315	1
10036	CHAF1A	0.10646	rs34080966	5	4	19	4402660	4443394	40735	1
10038	PARP2	0.30235	rs3093872	11	7	14	20811773	20826063	14291	1
100381270	ZBED6	0.08172	rs7552670	1	1	1	203766651	203769590	2940	1
10039	PARP3	0.08371	rs188953	1	1	3	51976361	51982883	6523	1
1004	CDH6	0.22734	rs10472187	87	15	5	31193762	31329253	135492	1
10040	TOM1L1	0.19458	rs17682873	52	14	17	52978052	53039328	61277	1
10042	HMGXB4	0.14271	rs2103642	15	9	22	35653445	35691800	38356	1
10043	TOM1	0.14752	rs138733	13	8	22	35695268	35743987	48720	1
100431172	KLRF2	0.13436	rs2034338	13	8	12	10034088	10048432	14345	1
10044	SH2D3C	0.09685	rs7037574	3	3	9	130500596	130541048	40453	-1
10045	SH2D3A	0.09418	rs2305806	4	4	19	6752171	6767523	15353	-1
10046	MAMLD1	0.21876	rs670312	48	14	X	149531551	149682448	150898	1
100462977	MTRNR2L1	0.09989	rs12946383	5	4	17	22022437	22023991	1555	1
100463285	MTRNR2L4	0.08419	rs40633	2	2	16	3421053	3422283	1231	-1
100463289	MTRNR2L5	0.09607	rs4132892	17	9	10	57358750	57360488	1739	1
100463482	MTRNR2L6	0.0796	rs17133581	1	1	7	142374131	142375525	1395	1
100463488	MTRNR2L10	0.11316	rs5960399	5	4	X	55207824	55208944	1121	-1
10047	CST8	0.12123	rs6106669	19	10	20	23471766	23476655	4890	1
10048	RANBP9	0.10764	rs9475227	23	11	6	13621730	13711796	90067	-1
10049	DNAJB6	0.13611	rs757625	46	13	7	157129710	157210133	80424	1
100499483	C9orf174	0.12517	rs2401384	44	13	9	100069910	100139577	69668	1
1005	CDH7	0.14593	rs12605720	41	13	18	63417488	63548175	130688	1
10050	SLC17A4	0.15248	rs2328893	13	8	6	25754927	25781403	26477	1
100500938	CCDC179	0.2078	rs2240941	16	9	11	22868468	22881972	13505	-1
100505385	IQCJ-SCHIP1	0.18938	rs26298	187	15	3	158787041	159615155	828115	1
100505478	LOC100505478	0.20938	rs17237455	30	12	9	117428714	117444369	15656	-1
100505549	LOC100505549	0.21119	rs527815	10	7	18	55297534	55336508	38975	1
100505591	LRRC3C	0.12866	rs16965456	4	4	17	38097727	38100987	3261	1
100505679	LOC100505679	0.10942	rs12911210	4	4	15	84841242	84850985	9744	1
100505724	KRTAP9-7	0.10998	rs11654275	8	6	17	39431950	39432459	510	1
100505741	SPATA1	0.11551	rs11163987	6	5	1	84971902	85018807	46906	1
100505753	KRTAP16-1	0.82176	rs2874235	5	4	17	39463952	39465505	1554	-1
100505767	LOC100505767	0.08863	rs3930017	1	1	7	76682095	76689829	7735	-1
100505781	LOC100505781	0.08491	rs6606438	1	1	9	44890666	44991061	100396	-1
100505798	LOC100505798	0.07939	rs2569163	3	3	5	139949633	139971677	22045	-1
100505836	LOC100505836	0.15718	rs779166	213	15	3	21919336	22414273	494938	-1
100505841	LOC100505841	0.13147	rs17432743	11	7	5	121495871	121518358	22488	1
100506012	PPP5D1	0.59507	rs7251461	14	8	19	46984045	47104457	120413	-1
100506049	LRRC72	0.15352	rs10214940	40	13	7	16566505	16621114	54610	1
100506127	LOC100506127	0.0885	rs12289955	11	7	11	76092337	76119176	26840	1
100506144	ZMYM6NB	0.08566	rs11802362	3	3	1	35447127	35450948	3822	-1
100506243	KRBOX1	0.10039	rs6768791	5	4	3	42977834	42984284	6451	1
100506248	LOC100506248	0.08833	rs11054692	1	1	12	12264097	12264453	357	1
100506310	LOC100506310	0.1901	rs4846048	3	3	1	11832185	11849642	17458	1
100506388	LOC100506388	0.15725	rs9895105	1	1	17	180996	183279	2284	1
100506422	LOC100506422	0.14706	rs10812342	40	13	9	26066673	26118406	51734	1
100506514	LOC100506514	0.11152	rs9683679	2	2	4	57276808	57285944	9137	1
100506545	LOC100506545	0.29486	rs12556940	11	7	X	103159239	103159640	402	-1
100506564	THEGL	0.17838	rs10866435	19	10	4	57396775	57469489	72715	1
100506581	C16orf95	0.16177	rs17770675	28	12	16	87336404	87351026	14623	-1
100506627	DCDC5	0.25543	rs273601	36	13	11	30885150	31014233	129084	-1
100506635	LOC100506635	0.0938	rs12027041	1	1	1	3591416	3591970	555	-1
100506650	C17orf112	0.11401	rs6504803	26	11	17	51062880	51065012	2133	1
100506658	OCLN	0.09417	rs3733742	1	1	5	68788119	68853931	65813	1
100506667	LOC100506667	0.21789	rs700976	41	13	9	98532606	98534956	2351	1
100506688	LOC100506688	0.14456	rs4957112	7	5	5	988425	997455	9031	-1
100506736	SLFN12L	0.11096	rs3744372	10	7	17	33801942	33814758	12817	-1
100506742	CASP12	0.42905	rs609552	20	10	11	104756445	104769397	12953	-1
100506745	LOC100506745	0.26475	rs6647448	6	5	X	73280376	73286133	5758	1
100506870	LOC100506870	0.19738	rs2853126	6	5	11	112155656	112162502	6847	1
100506971	LOC100506971	0.10753	rs9511095	31	12	13	19526592	19551111	24520	-1
100506972	LOC100506972	0.09693	rs12436943	2	2	14	95926709	95930550	3842	-1
100507050	TPBGL	0.11608	rs17133848	2	2	11	74951950	74954749	2800	1
100507055	LRCOL1	0.07866	rs11146967	1	1	12	133179736	133187037	7302	-1
100507096	GIMD1	0.22369	rs3108151	21	10	4	107279340	107288592	9253	-1
100507172	LOC100507172	0.48599	rs13213319	12	8	6	71122531	71127350	4820	-1
100507203	SMLR1	0.18609	rs2236081	24	11	6	131148545	131158275	9731	1
100507341	SMIM18	0.08663	rs16877238	1	1	8	30496117	30503473	7357	1
100507369	LOC100507369	0.09111	rs6593310	1	1	7	56445530	56446754	1225	-1
100507421	TMEM178B	0.19115	rs10232772	122	15	7	140774032	141180180	406149	1
100507436	MICA	0.22147	rs3016013	32	12	6	31367561	31383090	15530	1
100507462	LOC100507462	0.16794	rs9495239	26	11	6	139046348	139094816	48469	-1
100507483	LOC100507483	0.10858	rs757549	13	8	19	16130552	16131094	543	1
100507527	THEG5	0.1678	rs16965971	4	4	19	32083187	32083945	759	1
100507650	C14orf164	0.10623	rs3811180	7	5	14	23707127	23739568	32442	1
100507656	LOC100507656	0.10206	rs9911974	1	1	17	40191723	40195394	3672	-1
100507679	MUC22	0.53476	rs4713419	49	14	6	30973729	31003179	29451	1
100508736	LOC100508736	0.44246	rs288466	34	12	11	31027307	31263299	235993	-1
100509247	LOC100509247	0.18364	rs4062114	7	5	7	57882126	57882506	381	-1
10051	SMC4	0.11926	rs1451761	2	2	3	160117430	160152741	35312	1
10052	GJC1	0.08457	rs1003591	1	1	17	42875816	42908179	32364	-1
100526664	LY75-CD302	0.16097	rs16844411	48	14	2	160625139	160761267	136129	-1
100526693	ARPC4-TTLL3	0.11803	rs11708462	10	7	3	9834232	9878040	43809	1
100526694	MSANTD3-TMEFF1	0.0916400000000001	rs951868	17	9	9	103204188	103339918	135731	1
100526737	RBM14-RBM4	0.09646	rs580910	4	4	11	66384053	66413944	29892	1
100526739	APITD1-CORT	0.09654	rs1307494	2	2	1	10490159	10512060	21902	1
100526740	ATP5J2-PTCD1	0.08048	rs2240384	1	1	7	99014362	99063824	49463	-1
100526761	CCDC169-SOHLH2	0.12665	rs1328641	35	13	13	36742345	36871992	129648	-1
100526767	RNF103-CHMP3	0.13804	rs308916	20	10	2	86730553	86948245	217693	-1
100526772	TMEM110-MUSTN1	0.10737	rs1573815	9	6	3	52867131	52931597	64467	-1
100526773	EPPIN-WFDC6	0.09288	rs6017608	12	8	20	44164919	44176065	11147	-1
100526783	C15orf38-AP3S2	0.18871	rs10852124	25	11	15	90373831	90456222	82392	-1
100526794	NT5C1B-RDH14	0.13266	rs2704634	15	9	2	18735989	18770846	34858	-1
100526832	PHOSPHO2-KLHL23	0.12828	rs7590347	22	11	2	170550964	170608396	57433	1
100526835	FPGT-TNNI3K	0.23994	rs10890133	66	14	1	74663896	75010116	346221	1
