chr	geneEntrezID	startpos	endpos	strand	symb	multi_loc	length
1	643988	1533388	1535476	-1	LOC643988	False	2089
1	142678	1550795	1565990	1	MIB2	False	15196
1	8510	1567560	1570030	1	MMP23B	False	2471
1	984	1571100	1590473	-1	CDK11B	False	19374
1	728661	1592939	1624243	-1	SLC35E2B	False	31305
1	728642	1634169	1655791	-1	CDK11A	False	21623
1	9906	1656277	1677438	-1	SLC35E2	False	21162
1	65220	1682671	1711508	-1	NADK	False	28838
1	2782	1716725	1822526	-1	GNB1	False	105802
1	163688	1846266	1848733	1	CALML6	False	2468
1	339456	1849029	1850740	-1	TMEM52	False	1712
1	339457	1853390	1859368	-1	C1orf222	False	5979
1	728690	1863709	1864446	-1	LOC728690	False	738
1	85452	1884752	1935276	-1	KIAA1751	False	50525
1	2563	1950768	1962192	1	GABRD	False	11425
1	5590	1981909	2116834	1	PRKCZ	False	134926
1	100506504	2113246	2115492	-1	LOC100506504	False	2247
1	199990	2115899	2139172	-1	C1orf86	False	23274
1	6497	2160134	2241652	1	SKI	False	81519
1	79906	2252696	2322993	-1	MORN1	False	70298
1	100129110	2296152	2296866	-1	LOC100129110	False	715
1	11079	2323214	2336883	1	RER1	False	13670
1	5192	2336241	2344010	-1	PEX10	False	7770
1	9651	2407754	2436964	1	PLCH2	False	29211
1	55229	2439975	2458035	-1	PANK4	False	18061
1	388585	2460184	2461684	-1	HES5	False	1501
1	8764	2487805	2495268	1	TNFRSF14	False	7464
1	127281	2517899	2522908	1	FAM213B	False	5010
1	79258	2522081	2564481	-1	MMEL1	False	42401
1	100287898	2572807	2706230	-1	TTC34	False	133424
1	140625	2938046	2939467	1	ACTRT2	False	1422
1	63976	2985742	3355185	1	PRDM16	False	369444
1	27237	3371147	3397677	1	ARHGEF16	False	26531
1	1953	3404506	3528059	-1	MEGF6	False	123554
1	127262	3541556	3546695	1	TPRG1L	False	5140
1	49856	3547331	3566671	-1	WRAP73	False	19341
1	7161	3569129	3652765	1	TP73	False	83637
1	100506635	3591416	3591970	-1	LOC100506635	False	555
1	148870	3668965	3688209	1	CCDC27	False	19245
1	388588	3689352	3692546	1	LOC388588	False	3195
1	57470	3696784	3713068	-1	LRRC47	False	16285
1	9731	3728645	3773797	-1	CEP104	False	45153
1	1677	3773845	3801993	1	DFFB	False	28149
1	339448	3805697	3816857	-1	C1orf174	False	11161
1	55966	4715105	4843851	1	AJAP1	False	128747
1	261734	5922870	6052533	-1	NPHP4	False	129664
1	8514	6052358	6161253	1	KCNAB2	False	108896
1	100131864	6160103	6161095	-1	LOC100131864	False	993
1	26038	6161847	6240194	-1	CHD5	False	78348
1	6146	6245080	6259679	-1	RPL22	False	14600
1	388591	6266189	6281359	1	RNF207	False	15171
1	23463	6281253	6296044	-1	ICMT	False	14792
1	390992	6304252	6305638	1	HES3	False	1387
1	387509	6307406	6321035	-1	GPR153	False	13630
1	11332	6324332	6453826	-1	ACOT7	False	129495
1	54626	6475292	6479979	-1	HES2	False	4688
1	83715	6484848	6521004	1	ESPN	False	36157
1	8718	6521211	6526255	-1	TNFRSF25	False	5045
1	57449	6526152	6580069	-1	PLEKHG5	False	53918
1	79707	6581407	6614658	-1	NOL9	False	33252
1	80835	6615338	6639817	1	TAS1R1	False	24480
1	3104	6640063	6649340	1	ZBTB48	False	9278
1	9903	6650784	6662929	-1	KLHL21	False	12146
1	148479	6673756	6684093	1	PHF13	False	10338
1	90326	6684925	6695646	1	THAP3	False	10722
1	55735	6694228	6761966	-1	DNAJC11	False	67739
1	23261	6845384	7829766	1	CAMTA1	False	984383
1	9341	7831329	7841492	1	VAMP3	False	10164
1	8863	7844763	7905237	1	PER3	False	60475
1	10911	7907672	7913551	-1	UTS2	False	5880
1	3604	7975931	8003225	-1	TNFRSF9	False	27295
1	11315	8021714	8045342	1	PARK7	False	23629
1	54206	8071779	8086393	-1	ERRFI1	False	14615
1	50651	8384390	8404227	1	SLC45A1	False	19838
1	473	8412464	8877699	-1	RERE	False	465236
1	2023	8921059	8939151	-1	ENO1	False	18093
1	765	9005922	9035151	1	CA6	False	29230
1	155184	9063359	9086404	-1	SLC2A7	False	23046
1	6518	9097005	9148510	-1	SLC2A5	False	51506
1	80045	9164476	9189229	-1	GPR157	False	24754
1	9563	9294863	9331396	1	H6PD	False	36534
1	80176	9352941	9429591	1	SPSB1	False	76651
1	84275	9599528	9642831	1	SLC25A33	False	43304
1	199953	9648932	9674935	1	TMEM201	False	26004
1	5293	9711790	9789172	1	PIK3CD	False	77383
1	22883	9789079	9884550	-1	CLSTN1	False	95472
1	56998	9908334	9970316	-1	CTNNBIP1	False	61983
1	84328	9989776	10002826	-1	LZIC	False	13051
1	64802	10003486	10045556	1	NMNAT1	False	42071
1	116362	10057255	10076078	1	RBP7	False	18824
1	10277	10093041	10241297	1	UBE4B	False	148257
1	23095	10270764	10441661	1	KIF1B	False	170898
1	5226	10459085	10480201	1	PGD	False	21117
1	378708	10490159	10502872	1	APITD1	False	12714
1	100526739	10490159	10512060	1	APITD1-CORT	False	21902
1	1325	10509776	10512060	1	CORT	False	2285
1	1676	10520588	10532613	-1	DFFA	False	12026
1	5195	10535003	10690815	1	PEX14	False	155813
1	54897	10696661	10856707	-1	CASZ1	False	160047
1	148345	11006530	11042094	-1	C1orf127	False	35565
1	23435	11072679	11085549	1	TARDBP	False	12871
1	10747	11086580	11107296	-1	MASP2	False	20717
1	6723	11114649	11120091	-1	SRM	False	5443
1	5394	11126675	11159938	-1	EXOSC10	False	33264
1	2475	11166588	11322608	-1	MTOR	False	156021
1	10218	11249398	11256038	1	ANGPTL7	False	6641
1	29914	11333255	11348491	1	UBIAD1	False	15237
1	57540	11539295	11597640	1	PTCHD2	False	58346
1	26232	11708418	11714888	-1	FBXO2	False	6471
1	93611	11714432	11723384	1	FBXO44	False	8953
1	26270	11724150	11734411	1	FBXO6	False	10262
1	10459	11734537	11751678	-1	MAD2L2	False	17142
1	374946	11751781	11780336	1	C1orf187	False	28556
1	57085	11796142	11810828	1	AGTRAP	False	14687
1	284498	11826805	11838367	1	C1orf167	False	11563
1	100506310	11838543	11849642	1	LOC100506310	False	11100
1	4524	11845787	11866160	-1	MTHFR	False	20374
1	1185	11866207	11903201	1	CLCN6	False	36995
1	4878	11905766	11907840	-1	NPPA	False	2075
1	4879	11917521	11918992	-1	NPPB	False	1472
1	90231	11979645	11986485	-1	KIAA2013	False	6841
1	5351	11994724	12035599	1	PLOD1	False	40876
1	9927	12040238	12073572	1	MFN2	False	33335
1	60672	12079512	12092106	1	MIIP	False	12595
1	943	12123434	12204264	1	TNFRSF8	False	80831
1	7133	12227060	12269277	1	TNFRSF1B	False	42218
1	55187	12290113	12572099	1	VPS13D	False	281987
1	9249	12627939	12677820	-1	DHRS3	False	49882
1	343066	12704566	12727097	1	AADACL4	False	22532
1	126767	12776118	12788726	1	AADACL3	False	12609
1	93190	12806163	12821102	1	C1orf158	False	14940
1	390999	12834984	12838049	1	PRAMEF12	False	3066
1	65121	12851546	12856777	1	PRAMEF1	False	5232
1	440560	12884468	12891264	-1	PRAMEF11	False	6797
1	343069	12907261	12908578	-1	HNRNPCL1	False	1318
1	65122	12916941	12921764	1	PRAMEF2	False	4824
1	400735	12939033	12946025	-1	PRAMEF4	False	6993
1	343071	12952727	12958094	-1	PRAMEF10	False	5368
1	441871	12977513	12980233	1	PRAMEF7	False	2721
1	440561	12998302	13007406	-1	PRAMEF6	False	9105
1	653606	13035543	13038381	1	PRAMEF22	False	2839
1	729368	13108838	13122577	-1	PRAMEF23	False	13740
1	441873	13140450	13145000	1	PRAMEF25	False	4551
1	440563	13182960	13184326	-1	LOC440563	False	1367
1	645359	13216688	13219694	-1	LOC645359	False	3007
1	401940	13328196	13331692	-1	PRAMEF3	False	3497
1	343068	13359819	13369057	1	PRAMEF5	False	9239
1	391002	13386646	13390765	-1	PRAMEF8	False	4120
1	343070	13421176	13428191	1	PRAMEF9	False	7016
1	400736	13447414	13452656	-1	PRAMEF13	False	5243
1	391003	13474053	13477569	-1	PRAMEF18	False	3517
1	654348	13495254	13498260	1	PRAMEF16	False	3007
1	391001	13521963	13526943	1	PRAMEF21	False	4981
1	653619	13641973	13648987	1	PRAMEF15	False	7015
1	729528	13668269	13673511	-1	PRAMEF14	False	5243
1	645414	13694889	13698405	-1	PRAMEF19	False	3517
1	391004	13716088	13719064	1	PRAMEF17	False	2977
1	645425	13736907	13747803	1	PRAMEF20	False	10897
1	126755	13801445	13840242	-1	LRRC38	False	38798
1	10630	13910252	13944452	1	PDPN	False	34201
1	7799	14026735	14151574	1	PRDM2	False	124840
1	23254	14925213	15444544	1	KAZN	False	519332
1	100129042	15198113	15198835	1	LOC100129042	False	723
1	55092	15479028	15546974	1	TMEM51	False	67947
1	114827	15573768	15724622	1	FHAD1	False	150855
1	79180	15736391	15756839	1	EFHD2	False	20449
1	11330	15764938	15773153	1	CTRC	False	8216
1	63036	15783223	15798586	1	CELA2A	False	15364
1	51032	15802596	15817895	1	CELA2B	False	15300
1	842	15818769	15851285	-1	CASP9	False	32517
1	23341	15853352	15898228	1	DNAJC16	False	44877
1	79814	15898194	15911605	-1	AGMAT	False	13412
1	84301	15943953	15987552	1	DDI2	False	43600
1	6248	15986364	15988217	1	RSC1A1	False	1854
1	23207	16010827	16061264	1	PLEKHM2	False	50438
1	284723	16062809	16067884	1	SLC25A34	False	5076
1	388595	16068917	16074477	1	TMEM82	False	5561
1	54751	16085255	16113084	1	FBLIM1	False	27830
1	440567	16133657	16134194	-1	UQCRHL	False	538
1	23013	16174359	16266950	1	SPEN	False	92592
1	7709	16268364	16302627	-1	ZBTB17	False	34264
1	149563	16330731	16333180	1	C1orf64	False	2450
1	27129	16340523	16345285	-1	HSPB7	False	4763
1	1187	16348486	16360545	1	CLCNKA	False	12060
1	1188	16370247	16383803	1	CLCNKB	False	13557
1	348487	16384264	16400127	-1	FAM131C	False	15864
1	1969	16450832	16482582	-1	EPHA2	False	31751
1	128272	16524599	16539104	-1	ARHGEF19	False	14506
1	645634	16542874	16552794	-1	ANO7L1	False	9921
1	79363	16558182	16563659	-1	RSG1	False	5478
1	54455	16576559	16678948	-1	FBXO42	False	102390
1	26099	16693583	16724640	1	C1orf144	False	31058
1	374955	16725138	16763919	-1	SPATA21	False	38782
1	55707	16767167	16786585	1	NECAP2	False	19419
1	100506533	16862280	16863350	1	LOC100506533	False	1071
1	100133301	16865561	16866070	1	LOC100133301	False	510
1	55672	16890412	16939982	-1	NBPF1	False	49571
1	729574	16999498	17000007	1	LOC729574	False	510
1	729587	17060447	17060956	-1	LOC729587	False	510
1	9696	17248445	17299474	1	CROCC	False	51030
1	4237	17300997	17308081	-1	MFAP2	False	7085
1	23400	17312453	17338423	-1	ATP13A2	False	25971
1	6390	17345217	17380665	-1	SDHB	False	35449
1	11240	17393256	17445948	-1	PADI2	False	52693
1	29943	17531621	17572501	1	PADI1	False	40881
1	51702	17575593	17610728	1	PADI3	False	35136
1	23569	17634690	17690495	1	PADI4	False	55806
1	353238	17698741	17728195	1	PADI6	False	29455
1	55920	17733251	17766220	-1	RCC2	False	32970
1	55160	17866330	18024370	1	ARHGEF10L	False	158041
1	81569	18149477	18153558	1	ACTL8	False	4082
1	84966	18434240	18704977	1	IGSF21	False	270738
1	127707	18807424	18812493	1	KLHDC7A	False	5070
1	5081	18957500	19075360	1	PAX7	False	117861
1	80834	19166093	19186155	-1	TAS1R2	False	20063
1	8659	19197924	19229293	-1	ALDH4A1	False	31370
1	126917	19230774	19282826	-1	IFFO2	False	52053
1	23352	19401000	19536746	-1	UBR4	False	135747
1	23065	19544584	19578046	-1	KIAA0090	False	33463
1	51154	19578075	19586622	1	MRTO4	False	8548
1	22977	19609057	19615280	-1	AKR7A3	False	6224
1	8574	19630459	19638640	-1	AKR7A2	False	8182
1	54896	19638740	19655794	1	PQLC2	False	17055
1	832	19665267	19812066	-1	CAPZB	False	146800
1	440574	19923471	19956315	1	MINOS1	False	32845
1	100532736	19923471	19984949	1	C1orf151-NBL1	False	61479
1	4681	19969723	19984949	1	NBL1	False	15227
1	3362	19991780	20006055	1	HTR6	False	14276
1	255104	20008706	20126410	-1	TMCO4	False	117705
1	54546	20140522	20141771	-1	RNF186	False	1250
1	23252	20208888	20239438	1	OTUD3	False	30551
1	30814	20246800	20250110	-1	PLA2G2E	False	3311
1	5320	20301924	20306932	-1	PLA2G2A	False	5009
1	5322	20396701	20418394	1	PLA2G5	False	21694
1	26279	20438432	20446008	-1	PLA2G2D	False	7577
1	64600	20465823	20476879	1	PLA2G2F	False	11057
1	391013	20490484	20501687	-1	PLA2G2C	False	11204
1	127733	20512578	20519942	1	UBXN10	False	7365
1	127731	20617412	20681387	1	VWA5B1	False	63976
1	55450	20808884	20812728	-1	CAMK2N1	False	3845
1	79594	20825941	20834674	-1	MUL1	False	8734
1	163933	20878932	20881513	1	FAM43B	False	2582
1	978	20915444	20945401	1	CDA	False	29958
1	65018	20959948	20978004	1	PINK1	False	18057
1	1650	20978260	20988037	-1	DDOST	False	9778
1	57576	20990507	21044317	-1	KIF17	False	53811
1	400745	21046225	21059133	-1	SH2D5	False	12909
1	50809	21069171	21113181	-1	HP1BP3	False	44011
1	8672	21132785	21503381	-1	EIF4G3	False	370597
1	1889	21543740	21672034	-1	ECE1	False	128295
1	84224	21766631	21811393	1	NBPF3	False	44763
1	249	21835858	21904905	1	ALPL	False	69048
1	5909	21922708	21995856	-1	RAP1GAP	False	73149
1	84196	22004791	22109688	-1	USP48	False	104898
1	401944	22138758	22151714	1	LDLRAD2	False	12957
1	3339	22148737	22263750	-1	HSPG2	False	115014
1	23436	22303418	22315847	1	CELA3B	False	12430
1	10136	22328149	22339035	1	CELA3A	False	10887
1	998	22379120	22419436	1	CDC42	False	40317
1	54361	22443798	22469519	-1	WNT4	False	25722
1	9923	22778344	22857650	1	ZBTB40	False	79307
1	2046	22890004	22930087	1	EPHA8	False	40084
1	712	22963118	22966175	1	C1QA	False	3058
1	714	22970118	22974603	1	C1QC	False	4486
1	713	22979682	22988029	1	C1QB	False	8348
1	2048	23037331	23241823	1	EPHB2	False	204493
1	646262	23279536	23289671	-1	LACTBL1	False	10136
1	729059	23337327	23342343	-1	LOC729059	False	5017
1	23028	23345941	23410184	1	KDM1A	False	64244
1	7798	23410516	23495351	-1	LUZP1	False	84836
1	3352	23518388	23521222	-1	HTR1D	False	2835
1	10236	23636276	23670853	-1	HNRNPR	False	34578
1	80818	23685941	23696357	-1	ZNF436	False	10417
1	6920	23707555	23751261	-1	TCEA3	False	43707
1	55616	23755056	23810750	-1	ASAP3	False	55695
1	1870	23832920	23857712	-1	E2F2	False	24793
1	3399	23884409	23886322	-1	ID3	False	1914
1	6135	24018269	24022915	1	RPL11	False	4647
1	6924	24069856	24088549	1	TCEB3	False	18694
1	57095	24104876	24114722	1	PITHD1	False	9847
1	11313	24117646	24122029	1	LYPLA2	False	4384
1	2582	24122089	24127294	-1	GALE	False	5206
1	3155	24128367	24151949	-1	HMGCL	False	23583
1	2517	24171567	24194859	-1	FUCA1	False	23293
1	1269	24200460	24239817	-1	CNR2	False	39358
1	55629	24286301	24289952	1	PNRC2	False	3652
1	10772	24292935	24306953	-1	SRSF10	False	14019
1	127294	24382531	24438665	-1	MYOM3	False	56135
1	58985	24446261	24469775	-1	IL22RA1	False	23515
1	163702	24480647	24513765	-1	IL28RA	False	33119
1	57822	24645812	24690972	1	GRHL3	False	45161
1	90529	24683489	24741587	-1	C1orf201	False	58099
1	57185	24742245	24799473	1	NIPAL3	False	57229
1	11123	24829387	24862428	1	RCAN3	False	33042
1	400746	24921910	24935819	1	C1orf130	False	13910
1	10250	24969594	24999772	1	SRRM1	False	30179
1	25932	25071760	25170815	1	CLIC4	False	99056
1	864	25226002	25291501	-1	RUNX3	False	65500
1	25949	25548767	25559013	-1	SYF2	False	10247
1	57035	25568740	25573985	-1	C1orf63	False	5246
1	6007	25598981	25656936	1	RHD	False	57956
1	23585	25664789	25688852	1	TMEM50A	False	24064
1	6006	25688740	25747363	-1	RHCE	False	58624
1	55219	25757388	25826700	1	TMEM57	False	69313
1	26119	25870076	25895377	1	LDLRAP1	False	25302
1	57134	25943959	26111258	1	MAN1C1	False	167300
1	57190	26126667	26144713	1	SEPN1	False	18047
1	56181	26146397	26159433	1	FAM54B	False	13037
1	79000	26160497	26185848	-1	C1orf135	False	25352
1	164091	26187975	26197744	-1	PAQR7	False	9770
1	3925	26210677	26233368	-1	STMN1	False	22692
1	5051	26286258	26324648	-1	PAFAH2	False	38391
1	2134	26348271	26362955	1	EXTL1	False	14685
1	7780	26364514	26372604	-1	SLC30A2	False	8091
1	84676	26377798	26394121	-1	TRIM63	False	16324
1	149420	26437656	26452034	1	PDIK1L	False	14379
1	79927	26485511	26489119	1	FAM110D	False	3609
1	51042	26496388	26497364	1	ZNF593	False	977
1	10256	26503981	26516375	1	CNKSR1	False	12395
1	378807	26517119	26529033	1	CATSPER4	False	11915
1	64793	26560693	26605299	1	CEP85	False	44607
1	83442	26606213	26608013	1	SH3BGRL3	False	1801
1	91544	26608773	26644756	-1	UBXN11	False	35984
1	1043	26644411	26647014	1	CD52	False	2604
1	55057	26648350	26680621	-1	AIM1L	False	32272
1	257101	26688125	26699266	-1	ZNF683	False	11142
1	79727	26737269	26756219	1	LIN28A	False	18951
1	79947	26758802	26797797	1	DHDDS	False	38996
1	3151	26798902	26803133	1	HMGN2	False	4232
1	6195	26856249	26901520	1	RPS6KA1	False	45272
1	8289	27022522	27108601	1	ARID1A	False	86080
1	55650	27114454	27124894	1	PIGV	False	10441
1	84243	27153201	27182211	1	ZDHHC18	False	29011
1	2810	27189633	27190947	1	SFN	False	1315
1	54707	27205873	27216869	-1	GPN2	False	10997
1	63906	27216979	27226962	-1	GPATCH3	False	9984
1	8431	27237975	27240567	-1	NR0B2	False	2593
1	10726	27248224	27272887	1	NUDC	False	24664
1	126695	27276047	27286901	-1	C1orf172	False	10855
1	646567	27312388	27312843	-1	OSTCP2	False	456
1	388610	27320195	27327377	1	TRNP1	False	7183
1	115572	27331511	27339333	-1	FAM46B	False	7823
1	6548	27425300	27481451	-1	SLC9A1	False	56152
1	23038	27561007	27635110	1	WDTC1	False	74104
1	84065	27648636	27662891	1	TMEM222	False	14256
1	84958	27668483	27680423	1	SYTL1	False	11941
1	9064	27681670	27693337	-1	MAP3K6	False	11668
1	8547	27695601	27701315	-1	FCN3	False	5715
1	388611	27705596	27709805	-1	CD164L2	False	4210
1	2827	27719152	27722318	1	GPR3	False	3167
1	10163	27730734	27816678	-1	WASF2	False	85945
1	27245	27860756	27930143	-1	AHDC1	False	69388
1	2268	27938800	27961727	-1	FGR	False	22928
1	2537	27992572	27998724	-1	IFI6	False	6153
1	199870	28052490	28089426	1	FAM76A	False	36937
1	23673	28099694	28150963	1	STX12	False	51270
1	5511	28157252	28178183	1	PPP1R8	False	20932
1	9473	28199055	28213196	1	C1orf38	False	14142
1	6118	28218049	28241236	-1	RPA2	False	23188
1	27293	28261504	28285663	1	SMPDL3B	False	24160
1	55113	28286504	28294604	1	XKR8	False	8101
1	2140	28296855	28415148	-1	EYA3	False	118294
1	5724	28473677	28520447	-1	PTAFR	False	46771
1	22826	28526789	28559542	-1	DNAJC8	False	32754
1	93974	28562602	28564616	1	ATPIF1	False	2015
1	83667	28585963	28609002	1	SESN2	False	23040
1	54797	28655513	28662478	1	MED18	False	6966
1	65979	28696093	28826881	1	PHACTR4	False	130789
1	1104	28832455	28865708	1	RCC1	False	33254
1	54952	28879529	28905057	1	TRNAU1AP	False	25529
1	115273	28918712	28921098	1	RAB42	False	2387
1	6883	28929608	28969604	-1	TAF12	False	39997
1	10691	28995240	29042115	1	GMEB1	False	46876
1	51441	29063133	29096287	1	YTHDF2	False	33155
1	4985	29138654	29190208	1	OPRD1	False	51555
1	2035	29213603	29446558	1	EPB41	False	232956
1	399474	29445937	29450421	-1	TMEM200B	False	4485
1	6429	29474250	29508637	-1	SRSF4	False	34388
1	51102	29519385	29557454	-1	MECR	False	38070
1	10076	29563028	29653325	1	PTPRU	False	90298
1	4146	31184124	31196432	-1	MATN1	False	12309
1	7805	31205315	31230683	-1	LAPTM5	False	25369
1	9672	31342313	31381480	-1	SDC3	False	39168
1	9698	31404353	31538564	-1	PUM1	False	134212
1	79570	31652592	31712734	-1	NKAIN1	False	60143
1	9410	31732415	31769644	-1	SNRNP40	False	37230
1	51538	31769842	31837780	1	ZCCHC17	False	67939
1	2170	31838100	31845923	-1	FABP3	False	7824
1	347735	31882412	31907527	1	SERINC2	False	25116
1	64129	32042086	32053287	1	TINAGL1	False	11202
1	3061	32083301	32092919	1	HCRTR1	False	9619
1	553115	32095463	32110838	-1	PEF1	False	15376
1	1307	32117848	32169768	-1	COL16A1	False	51921
1	576	32192718	32229648	-1	BAI2	False	36931
1	90853	32256025	32281580	-1	SPOCD1	False	25556
1	8073	32372022	32403988	-1	PTP4A2	False	31967
1	10657	32479491	32509472	1	KHDRBS1	False	29982
1	55116	32538503	32568467	1	TMEM39B	False	29965
1	23633	32573644	32642169	1	KPNA6	False	68526
1	200081	32645345	32663886	1	TXLNA	False	18542
1	79140	32666202	32670991	1	CCDC28B	False	4790
1	55721	32671236	32674288	1	IQCC	False	3053
1	149069	32674695	32681797	1	DCDC2B	False	7103
1	56063	32681798	32687926	-1	TMEM234	False	6129
1	8668	32687971	32697205	1	EIF3I	False	9235
1	84734	32712818	32714461	1	FAM167B	False	1644
1	3932	32716840	32751766	1	LCK	False	34927
1	3065	32757708	32799224	1	HDAC1	False	41517
1	65108	32799440	32801834	-1	MARCKSL1	False	2395
1	100128071	32826871	32827844	-1	LOC100128071	False	974
1	81629	32827862	32829926	1	TSSK3	False	2065
1	55108	32830704	32860062	-1	BSDC1	False	29359
1	728116	32930658	32953460	1	ZBTB8B	False	22803
1	653121	33004772	33071542	1	ZBTB8A	False	66771
1	339487	33087305	33116185	-1	ZBTB8OS	False	28881
1	5928	33116749	33151812	1	RBBP4	False	35064
1	81493	33145507	33168361	-1	SYNC	False	22855
1	57648	33207512	33240571	1	KIAA1522	False	33060
1	8565	33240840	33283633	-1	YARS	False	42794
1	64766	33283176	33324476	1	S100PBP	False	41301
1	252995	33327869	33338082	-1	FNDC5	False	10214
1	3208	33352098	33360247	1	HPCA	False	8150
1	113452	33360196	33366953	-1	TMEM54	False	6758
1	127544	33402050	33430286	-1	RNF19B	False	28237
1	100505584	33416895	33417080	-1	LOC100505584	False	186
1	204	33473541	33502512	-1	AK2	False	28972
1	113451	33546714	33585995	1	ADC	False	39282
1	55223	33611003	33647671	-1	TRIM62	False	36669
1	149076	33722174	33766320	1	ZNF362	False	44147
1	1912	33789224	33841194	-1	PHC2	False	51971
1	7579	33938232	33961995	1	ZSCAN20	False	23764
1	114784	33979609	34631443	-1	CSMD2	False	651835
1	127540	34326076	34330392	1	HMGB4	False	4317
1	84970	34632624	34684732	1	C1orf94	False	52109
1	2709	35220721	35224112	1	GJB5	False	3392
1	127534	35225342	35229325	1	GJB4	False	3984
1	2707	35246790	35251967	1	GJB3	False	5178
1	2701	35258599	35261348	1	GJA4	False	2750
1	113444	35315963	35325417	-1	C1orf212	False	9455
1	58512	35331037	35370984	-1	DLGAP3	False	39948
1	100506144	35447127	35450948	-1	ZMYM6NB	False	3822
1	9204	35451766	35497569	-1	ZMYM6	False	45804
1	79830	35544972	35581455	1	ZMYM1	False	36484
1	6421	35649201	35658743	-1	SFPQ	False	9543
1	9202	35734568	35887545	1	ZMYM4	False	152978
1	79932	35899091	36023037	-1	KIAA0319L	False	123947
1	23154	36023393	36032380	1	NCDN	False	8988
1	339488	36038971	36060929	1	TFAP2E	False	21959
1	5690	36065142	36107445	-1	PSMB2	False	42304
1	127703	36179477	36184790	-1	C1orf216	False	5314
1	63967	36197713	36235551	-1	CLSPN	False	37839
1	192670	36273828	36323491	1	EIF2C4	False	49664
1	26523	36348810	36389899	1	EIF2C1	False	41090
1	192669	36396683	36522063	1	EIF2C3	False	125381
1	27285	36549676	36553876	1	TEKT2	False	4201
1	54936	36554453	36559533	1	ADPRHL2	False	5081
1	1296	36560842	36565850	-1	COL8A2	False	5009
1	27095	36602173	36615067	-1	TRAPPC3	False	12895
1	55700	36621803	36646441	1	MAP7D1	False	24639
1	9967	36690017	36770958	1	THRAP3	False	80942
1	79729	36771994	36786948	1	SH3D21	False	14955
1	55194	36787632	36789755	-1	FAM176B	False	2124
1	83931	36805225	36851485	-1	STK40	False	46261
1	84967	36859031	36863493	-1	LSM10	False	4463
1	127700	36883507	36916086	-1	OSCP1	False	32580
1	64960	36921362	36930040	-1	MRPS15	False	8679
1	1441	36931644	36948915	-1	CSF3R	False	17272
1	2899	37261128	37499844	-1	GRIK3	False	238717
1	80149	37940119	37949978	1	ZC3H12A	False	9860
1	64769	37958176	37980364	-1	MEAF6	False	22189
1	79753	38002142	38019903	-1	SNIP1	False	17762
1	7802	38022520	38032458	1	DNALI1	False	9939
1	29889	38032413	38061586	-1	GNL2	False	29174
1	284654	38076951	38100595	-1	RSPO1	False	23645
1	54955	38147242	38156192	-1	C1orf109	False	8951
1	55143	38158159	38175391	1	CDCA8	False	17233
1	284656	38181646	38230824	-1	EPHA10	False	49179
1	149175	38259774	38267278	1	MANEAL	False	7505
1	79693	38268614	38273865	-1	YRDC	False	5252
1	127687	38273473	38275126	1	C1orf122	False	1654
1	4520	38275239	38325292	-1	MTF1	False	50054
1	3633	38326369	38412729	-1	INPP5B	False	86361
1	10946	38422647	38455761	-1	SF3A3	False	33115
